Хузангая;9;25-10-2021;В рамках проведения капитального ремонта в нашем доме по ул. Хузангая, 9 г. Чебоксары в 2021 году был произведен ремонт системы отопления. Моя квартира торцевая и  расположена на пятом этаже. Беспокоит шум от двух из пяти радиаторов - на торцевой стене в спальне и кухне (в ночное время в спальне отчетливо слышен гул работающего насоса и передается вибрация на трубы от бегущей воды).  Все это действует на нервы, появилась бессонница, подскакивает давление. В соседних квартирах 5 этажа и этажами ниже радиаторы и трубы спокойные, никаких шумов нет.;56.0992197 47.274239581336396;55;-500;[55, 511, 827];Жилищно-коммунальные услуги;0
Гагарина Ю.;23;25-10-2021;Добрый день;56.1278016 47.2696671;56;-900;[56];Благоустройство и инфраструктура;0
Кукшумская;21;25-10-2021;Здравствуйте,  Юрий Васильевич! Сегодня 25 число согласно проекту 325, подача показаний счётчиков осуществляется включительно по 25 число. Сегодня около 10 часов утра, почему то бухгалтерия закрыта и показания не принимаются. ;56.090830800000006 47.28127260878752;58;0;[58];Благоустройство и инфраструктура;0
Афанасьева;9;25-10-2021;Добрый день.;56.1485787 47.21610110716168;60;-300;[60, 748, 899];Благоустройство и инфраструктура;0
зд Энергетиков;12;25-10-2021;Когда нам сделают нормальную подачу горячей воды и в ванной и на кухне? Вода всё время остывает, если никто не сливает то полотенцесушитель холодный. И батареи чуть тёплые. На наши обращения никакой реакции нет, на этом портале наверно никто не читает обращения, нет ни одного ответа УК.;56.14513305 47.28371655269236;61;0;[61];Жилищно-коммунальные услуги;0
Композитора А.М.Токарева;4;25-10-2021;Нужна справка о составе семьи;56.126092400000005 47.3824598;62;0;[62];Благоустройство и инфраструктура;0
И.П.Прокопьева;20;25-10-2021;Здравствуйте.По Прокопьева 20, 6 подъезде на площадке возле лифта стены стали очень грязным,и на этажах возле окон.Можно их как то привести в порядок,протереть влажной тряпкой.Спасибо;56.12832675 47.39284808387676;63;0;[63];Благоустройство и инфраструктура;0
Проспект Максима Горького;38/2;25-10-2021;Добрый день!;56.149577449999995 47.171719618049615;64;-1000;[64, 1405, 1408];Благоустройство и инфраструктура;0
О.Беспалова;4;25-10-2021;В квартирах №83,87,91,95,99 подъезд №6 д.4 ул. О.Беспалова система отопления функционирует на оценку «2». Совсем не работают батареи на кухнях. Температура теплоносителя в подъезде высокая (руки не выдерживают), а в квартирах холодно. В прошлом году после капитального ремонта система отопления работала отлично, систему регулировали ремонтники. В этом году сантехники ООО «Чапаевец» за 1,5 месяца не могут налаживать;56.120661049999995 47.2507711943835;65;0;[65];Жилищно-коммунальные услуги;0
Свободы;29;25-10-2021;Здравствуйте!;56.1232548 47.17905550013042;66;0;[66];Благоустройство и инфраструктура;0
Проспект 9-й Пятилетки;9;24-10-2021;Добрый день. По адресу 9-ой пятилетки дом 9 подъезд 5 с 1 по 5 этаж не горит света на площадке. устраните неполадки. света нет неделю.;56.0956979 47.2697317;67;-300;[67, 494, 628];Благоустройство и инфраструктура;0
Парковая;39;24-10-2021;Добрый день.Приходили менять на этой неделе кран на общедомовой трубе,т.к он прокручивал,т . е,в квартире невозможно было перекрыть  холодную воду.Пришел от вас сахтеник,сменил старый кран на другой  старый кран,он теперь крутится,но также не перекрывает холодную воду в квартире.Проблема осталась.Просьба решить.;56.1098188 47.310826;69;-600;[69, 127, 549, 550, 1312];Благоустройство и инфраструктура;0
Парковая;13;24-10-2021;Здравствуйте, в пятницу не подошли на прочистку, тянуть уже нельзя, запах за выходные только усилился, хлорная известь не помогла, по видимому там плохо прочищен был предыдущий засор или новый образовался, что маловероятно! Прошу устранить засор канализационный системы. Спасибо.;56.1350598 47.2976635;70;100;[70];Благоустройство и инфраструктура;0
Кирова;60;24-10-2021;Добрый день!;56.111344 47.161839;71;0;[71];Благоустройство и инфраструктура;0
Парковая;19;24-10-2021;Здравствуйте. Всегда было обращение, теперь жалоба. В г. Новочебоксарск, ул. Парковая, дом 19, 2 подъезд, уже целый месяц пахнет канализацией!!! Дышать уже не чем! Эта история каждый год! Как только спускаются слесаря включать или выключать отопление, после их посещения, начинает вонять!!!!! канализацией. Не знаю что они там делают, так всегда! Решите проблему пожалуйста!!!!!;56.1348948 47.2983955;73;0;[73];Благоустройство и инфраструктура;0
Проспект 9-й Пятилетки;16/15;23-10-2021;Добрый день. Уже больше недели по пр-кт 9 пятилетки дом 16/15, кв. 27 отсутствует холодная вода. Вы хоть представляете какого это без воды холодной жить?! Когда уже решится этот вопрос с водой и она у нас будет? Кормят только завтраками по телефону и тем, что направили письмо. Можно уже оперативно все это решить?! Сколько можно? Хоть знаете, что по закону больше 8 часов и без предупреждения воду выключать нельзя?;56.0957899 47.27603910888408;74;0;[74];Благоустройство и инфраструктура;0
Шумилова;37;23-10-2021;Добрый день. ;56.10514225 47.29371526607514;75;-800;[75];Благоустройство и инфраструктура;0
10 Пятилетки;5А;23-10-2021;Во дворе перегорела лампа уличного освещения. Просьба заменить. Очень темно. Также, просьба, заменить лампочки над входной дверью подъездов.;56.09696995 47.272365815317194;76;200;[76, 169, 209];Благоустройство и инфраструктура;0
Советская;53А;23-10-2021;Прошу востановить плитку 1эт по ул. Советской 53а, 1подьезд;56.1461683 47.2477606;77;-100;[77];Благоустройство и инфраструктура;0
 Элеватор;6;23-10-2021;Добрый день! С начала отопотительного сезона нираз обращались в вашу компанию с просьбой устранить проблему с батареями. В прошлом году, соседи со второго этажа не правильно установили батареи и теперь в квартире по адресу тер Элеватор, д 6, кв 9 не работают батареи. Ближется холод, прошу прислать рабочих устранить проблему. Моя мама очень много раз звонила с номеров +79613453277 и +79674780607, но сейчас уже начали игнорировать её номер телефона;56.13663565 47.30644532784869;78;100;[41];Благоустройство и инфраструктура;0
Кадыкова;34/8;23-10-2021;Прошу исправить неполадки лифта, при спуске кабину шатает.;56.1056328 47.3063619;79;-200;[79, 80];Благоустройство и инфраструктура;0
Тепличная;6;23-10-2021;"""В сентябре 2021г сотрудники ООО """"Жилкомцентр"""" закрыли все продухи техподполья жилого дома 6 по ул.Тепличная. На просьбы жильцов дома открыть продухи, главный инженер ООО """"Жилкомцентр"""" не реагирует. В данный момент циркуляция воздуха в тех подполье отсутствует, на стенах и потолке техподполья образовался сильный конденсат, имеются следы поражения плесенью.""";56.1351824 47.2965476;81;0;[81];Жилищно-коммунальные услуги;0
Машиностроителей;6;22-10-2021;Жду ответа на мое обращение от 19 сентября 2021 года (вх.№137 от 21.09.2021г.), на спил дерева-тополь.;56.1257424 47.310624074164274;82;-100;[82];Благоустройство и инфраструктура;0
10 Пятилетки;2;22-10-2021;Здравствуйте, с начала отопительного сезона нет тепла на кухне в квартире, несколько раз обращалась, никакого результата нет, сказали что радиаторы подключены на обратку и поэтому нет тепла, ждите когда будет минус и прибавят отопление, а за что мы должны платить, если трубы холодные и на кухне холодно?  Какая температура должна быть по госту даже на обратке? Если не решится  вопрос буду вынуждена обратиться в органы надзора.;56.093998 47.271075618865325;83;-300;[83];Благоустройство и инфраструктура;0
Проспект Ленина;43;22-10-2021;Прошу устранить течь кровли по адресу: пр. Ленина, д. 43. После дождя капает с потолка на кухне в кв. 5;56.117966 47.2576721;84;-1200;[84, 1527];Благоустройство и инфраструктура;0
бресинское;3;21-10-2021;Заявление в управляющую компанию;56.1357171 47.2975631;86;0;[86];Благоустройство и инфраструктура;0
Проспект Максима Горького;14;21-10-2021;не горит свет .где датчик движения .  на этаже .4 этаж  4 подьезд  122 кв . М горького дом 14;56.1497642 47.193388020359436;87;0;[87];Благоустройство и инфраструктура;0
Новогородская;22/3;21-10-2021;Добрый вечер! Просим убрать с козырька подъезда ,тротуарную плиту, пока она не скатилась и не стукнула по голове кого-либо.;56.127418000000006 47.38101752458735;88;-800;[88, 118, 671, 865];Благоустройство и инфраструктура;0
Эльгера;17;21-10-2021;Здравствуйте! По адресу ул.Эльгера д.17 в 4-м подъезде на 5-ом этаже протекает участок крыши, где расположена сливная труба.  Просьба провести ремонтные работы.;56.14711175 47.177602209608885;89;0;[89];Благоустройство и инфраструктура;0
10 Пятилетки;32;21-10-2021;В августе 2021 не учтен платеж за капремонт по адресу ул. 10-пятилетки 32-182;56.095415599999995 47.281845591675186;90;-1000;[90, 414];Благоустройство и инфраструктура;0
Олега Кошевого;9;21-10-2021;Грязный подъезд, за 2 месяца ни разу не видела, чтобы убирались!!! Такие большие деньги платим, а живем в грязных подъездах. Помойте подъезды!;56.127316699999994 47.20460393018624;91;0;[91];Благоустройство и инфраструктура;0
Репина;12;21-10-2021;Добрый день, сильно протекает вода с чердака в квартиру по ул. Репина, д.12, 6 подъезд 5 этаж. Просим устранить проблему.;56.130417300000005 47.2298963;92;-1200;[92];Благоустройство и инфраструктура;0
Проспект Максима Горького;41;21-10-2021;Добрый день. Прошу вас принять меры по устранению течи в крыше. Я с семьей проживаю по адресу пр. Максима Горького дом 41 кв.14. Квартира находиться на пятом (последнем) этаже. Каждый раз при таянии снега, либо когда идет дождь начинает капать с потолка. Прошу вас срочно принять меры и устранить повреждения в крыше из-за которого у меня текут потолки.;56.1473508 47.174528550000005;93;-500;[93, 880];Благоустройство и инфраструктура;0
Винокурова;43;21-10-2021;Спасибо, ваш ответ понятен. Не понятно только, когда будут накопления (месяц, год, два). Может вы повесите объявление о должниках, хотя бы в нашем подъезде, мы побеседуем с ними. Знаю точно, что 53 кв должник, но она не живёт постоянно здесь. У меня есть телефон, могу переговорить.;56.1341075 47.2963732;94;100;[94];Благоустройство и инфраструктура;0
Ж.Крутовой;17;21-10-2021;Батареи сегодня чуть тёплые. На комнатном градуснике не выше 22-23°. Подвальное помещение остывает, заметно охлаждая пол на первом этаже. Прошу отрегулировать подачу тепла или письменно сообщить, я имею право на верхнюю границу нормы в 24°? На сегодняшний день при недостаточно горячих батареях и отсутствии возможности установки индивидуального счётчика на тепло, часть моей платы за тепло идёт в качестве доплаты за более тёплые этажи(при существующей системе оплаты за метраж).;56.1349082 47.2975955;95;615;[95, 161, 246, 303, 335, 356, 358, 564, 796, 800, 907, 1036, 1050, 1058, 1067, 1088, 1090, 1103, 1130, 1156, 1170, 1174, 1184, 1194, 1273, 1274, 1282, 1284, 1433, 1456, 1471];Жилищно-коммунальные услуги;0
Проспект Московский;31Б;21-10-2021;Московский проспект 31 Б. ;56.14280135 47.20723635233447;96;-1000;[96];Благоустройство и инфраструктура;0
Парковая;23;21-10-2021;Парковая, д. 23, кв. 15. В ванной комнате полотенцесушитель трубы холодные.;56.1346993 47.2954975;97;0;[97];Благоустройство и инфраструктура;0
Калинина;89;21-10-2021;Доброе утро, уважаемая УК! Сегодня 21.10.2021 г. остро встал вопрос о том, почему с подачей тепла, мы это тепло не ощущаем?;56.14068485 47.266594886736115;98;0;[98];Благоустройство и инфраструктура;0
Ж.Крутовой;8;20-10-2021;Где горячее водоснабжение в нашем доме, почему включена обратка? Вода течет холодная из двух труб и  полотенцесушитель холодный.;56.135461 47.2969195;99;200;[29, 45];Благоустройство и инфраструктура;0
Кадыкова;21;20-10-2021;В подвале 9 подъезда уже месяц течет и воняет канализация. Канализационные трубы разбитые , течет со всех щелей и стыков , мастер с УК Григорьев на обращение не реагирует.;56.106321750000006 47.305240165877805;100;-400;[100, 449, 847, 848];Жилищно-коммунальные услуги;0
Восточная;7;20-10-2021;Здравствуйте,по ул восточная 7,у 2 подъезда не горит лампочка,очень темно.;56.1449928 47.264253854689;101;-1100;[101, 790];Благоустройство и инфраструктура;0
Парковая;13;20-10-2021;После прочистки засора в подвальном помещении остался запах очень сильный, хотя воды в подвале нет, со старшей по дому был проведен осмотр, прошу провести дезинфекцию хлорной известью. Спасибо.;56.1350598 47.2976635;102;100;[70];Благоустройство и инфраструктура;0
Проспект 9-й Пятилетки;32;20-10-2021;По пр. 9 пятилетки, 32,холодные батареи, дома естественно тоже холодно, прошу вас принять меры к комфортным условиям для нас, т. к. на улице не потеплело, чтоб убавить тепло в батареях, по сравнению с момента подачи тепла, температура на улице понижается, а не повышается. Надеюсь ресурс тепла на всю зиму, мы не выработали. С уважением;56.10882465 47.465290294967105;103;0;[103];Благоустройство и инфраструктура;0
